	score
AURKAIP1	15.08134443283081
TLR6	15.066752815246582
CAMK1G	15.05080828666687
LEF1	15.018379974365235
PRKG1	15.014904127120971
RFC2	15.000253744125366
SSU72	14.998420219421387
TIRAP	14.987868175506591
CASP10	14.98486222267151
IQGAP1	14.974918947219848
CDKN2A	14.973351469039917
RNF135	14.972308006286621
IL12A	14.96468493461609
DLGAP5	14.96224871635437
H2AX	14.957195615768432
MAP3K3	14.952121572494507
UBE2D1	14.929621076583862
LIG1	14.909649782180786
TICAM1	14.905860891342163
CYP11B1	14.893543424606323
NTF3	14.890727977752686
MADD	14.880057630538941
PLG	14.871389245986938
H3C1	14.868423957824707
MEF2C	14.868199424743652
TFDP2	14.8550283908844
CYP11B2	14.851033315658569
ATM	14.835109043121339
DMD	14.834833164215087
IRAK3	14.820393180847168
CFLAR	14.819037246704102
SHC3	14.81821391105652
SUFU	14.816895666122436
FGF3	14.803846368789673
MYO1C	14.802124967575073
GTF2F1	14.790278797149659
RBBP4	14.78525665283203
PPARD	14.77630805015564
UBE2D2	14.759366445541382
FGR	14.759106073379517
PSMB11	14.755527477264405
FER	14.74809907913208
CHD3	14.696484479904175
FGF22	14.696406679153442
NCOA1	14.69266580581665
CYLD	14.677678632736207
IFIT1	14.673419485092163
TLR3	14.660409326553344
RFXAP	14.650480613708496
POU1F1	14.647044124603271
NOD1	14.643320569992065
TNFRSF11A	14.618073968887328
MAP3K5	14.617232007980347
RFC4	14.610308141708375
OGT	14.60689471244812
RFC5	14.595505704879761
TNFRSF1B	14.592792730331421
MAML2	14.58324815750122
SOD1	14.563647375106811
ICOS	14.556378679275513
EIF3A	14.539817876815796
RFX5	14.539181718826294
DMC1	14.528456802368163
TOPBP1	14.525603218078613
JAK3	14.521772966384887
RBPJL	14.513571052551269
TRIM4	14.512767496109008
AKT1	14.506911220550537
EXOC4	14.505768871307373
MITF	14.49996639251709
PGF	14.499886455535888
EPHA2	14.481452989578248
RFC3	14.474496717453002
FCGR3A	14.471416635513306
SHC4	14.469265146255493
TBL1XR1	14.465269870758057
HSPG2	14.438486671447754
IL2RG	14.407572088241578
PRKAA2	14.401563911437988
CREB1	14.400107536315918
SIK1	14.394946804046631
NOTCH4	14.393508462905883
SIGIRR	14.373534183502198
GTF2F2	14.369887399673463
RPTOR	14.365056533813476
FGF20	14.360438528060913
UBTF	14.354986963272095
KAT2B	14.351029853820801
CASP7	14.341209945678711
IL12RB2	14.328890352249145
TLR1	14.303228130340576
VIM	14.296652507781982
SIKE1	14.296315269470215
GRIA2	14.292125434875489
ANK2	14.278066253662109
PRKCH	14.275039653778077
ITPR1	14.253480033874512
CD14	14.24757695198059
MAP3K8	14.243084812164307
IRF9	14.236408586502074
RARG	14.21011568069458
BRCA2	14.187499713897704
SOCS3	14.174974899291993
ACTA1	14.173835172653199
SDC2	14.161112565994262
PCDH15	14.153224859237671
PRKAG1	14.142221422195435
EXOSC5	14.140945873260499
RFXANK	14.136939239501952
PRKAG2	14.120399551391602
RNF216	14.113541822433472
PAK1	14.095285186767578
CTSC	14.075936813354492
IL6ST	14.067265510559082
TLR9	14.057315883636475
HDAC1	14.057150392532348
CYCS	14.054414720535279
RNF111	14.040924081802368
ESR2	14.03308840751648
HERC2	14.008459005355835
ZFHX3	13.97514651298523
PXN	13.938899307250976
CLIP3	13.92487723350525
EGF	13.916431388854981
ZNF516	13.900712280273437
MAP2K1	13.896492614746094
GPR37	13.890970125198365
NFKBIA	13.883767480850219
FOXO1	13.88316330909729
PTPN1	13.866526184082032
CRADD	13.866372203826904
CRTC2	13.851927719116212
CASP2	13.838795404434205
MTA1	13.828249006271362
CHUK	13.817133102416992
TBK1	13.809689626693725
HEATR1	13.806507053375244
MLST8	13.794833135604858
MALT1	13.78966233253479
POLD1	13.773697729110717
STAG1	13.771795234680177
SHC2	13.763480997085571
KMT2E	13.757487354278565
CDKN2B	13.755836362838744
IRS4	13.755002498626709
CASP1	13.75476538658142
MAML1	13.748975477218629
RXRB	13.74002368927002
NOS1	13.735636777877808
CXCL8	13.73255175590515
ICOSLG	13.730768632888793
MAF1	13.70041386604309
DDX58	13.697354717254639
RAPGEF6	13.695450458526611
FAF1	13.684100770950318
PPP1R13L	13.672794132232665
EIF2AK3	13.662787714004516
PARP1	13.651823844909668
SRF	13.635349617004394
PTBP1	13.629827184677124
SPHK1	13.626450405120849
HGF	13.603577213287354
LRP1	13.603217563629151
BIRC3	13.577081279754639
NR2E1	13.57068772315979
PRKAG3	13.56107985496521
FGF18	13.560046787261962
REL	13.553189058303833
PDGFC	13.531805782318115
MTA2	13.529396209716797
MAML3	13.5252707862854
RXRG	13.51958960533142
RUNX3	13.517494621276855
EIF2S3B	13.506638326644897
TICAM2	13.505882692337035
PTPRC	13.49743658065796
FGF2	13.479706029891968
IL1R1	13.476082859039307
TRRAP	13.465336303710938
PRKAB2	13.454901990890503
NR5A2	13.436156396865846
ITCH	13.432447786331176
PPP2CA	13.389746932983398
SALL4	13.384558544158935
PRKAB1	13.37282166481018
TGFBR1	13.360381231307983
HTT	13.345017528533935
MMP7	13.322745504379272
CBLB	13.309382877349854
UTP20	13.302302293777466
NCOA6	13.301350593566895
MAP2K3	13.295226936340333
